TIME,STATE,RECEIVED_PKT,REASON,FUZZED_PKT,FUZZED_FIELDS_NAME,FUZZED_FIELDS_VALUE,DUPLICATED_PKT,ITERATION_NUMBER
2020-03-19 09_13_44.965910,FEATURE_RSP,BTLE / BTLE_DATA / CtrlPDU / LL_REJECT_IND,ANOMALY detected in state FEATURE_RSP,BTLE / BTLE_DATA / CtrlPDU / LL_ENC_REQ,"['RFU', 'SN', 'LLID', 'rand', 'ivm']","[[51155, 58909, 26254, '\xa8', '\x9a\xd4\x00\x00']]",send_feature_response,8
2020-03-19 09_13_54.521047,WRITE,BTLE / BTLE_DATA / CtrlPDU / LL_LENGTH_RSP,ANOMALY detected in state WRITE,BTLE / BTLE_DATA / L2CAP_Hdr / ATT_Hdr / ATT_Find_Information_Request,['opcode'],[[135]],send_length_request,10
